order_id,product_id,order_date,amount
O1072,P10,2023-09-15,91.27
O1073,P36,2023-08-14,321.1
O1074,P14,2023-03-21,299.17
O1075,P31,2023-02-19,145.73
O1076,P48,2023-06-07,475.79
O1077,P15,2023-08-19,401.58
O1078,P8,2023-07-13,101.06
O1079,P14,2023-12-24,468.92
O1080,P23,2023-06-12,488.41
O1081,P40,2023-05-06,498.17
O1082,P21,2023-11-01,75.14
O1083,P16,2023-10-30,381.67
O1084,P45,2023-12-28,295.66
O1085,P18,2023-06-29,367.62
O1086,P47,2023-10-10,485.89
O1087,P24,2023-07-06,359.61
O1088,P26,2023-01-22,426.63
O1089,P25,2023-09-19,440.09
O1090,P45,2023-02-06,427.32
O1091,P41,2023-08-11,241.74
O1092,P29,2023-06-09,150.16
O1093,P15,2023-08-27,228.49
O1094,P45,2023-03-24,451.35
O1095,P1,2023-08-11,115.97
O1096,P25,2023-03-17,281.0
O1097,P7,2023-03-15,154.95
O1098,P9,2023-04-29,311.59
O1099,P24,2023-02-11,438.41
O1100,P1,2023-02-08,446.16
O1101,P44,2023-01-14,156.51
O1102,P8,2023-07-08,458.46
O1103,P24,2023-04-28,316.35
O1104,P11,2023-11-19,207.6
O1105,P17,2023-09-25,368.68
O1106,P8,2023-09-22,266.75
O1107,P35,2023-03-16,220.09
O1108,P35,2023-01-17,367.29
O1109,P33,2023-06-28,161.93
O1110,P5,2023-08-19,198.61
O1111,P42,2023-04-13,245.5
O1112,P39,2023-10-28,164.16
O1113,P41,2023-11-18,232.34
O1114,P28,2023-03-26,307.16
O1115,P7,2023-08-19,383.44
O1116,P9,2023-08-07,395.24
O1117,P8,2023-02-05,420.26
O1118,P12,2023-09-17,384.9
O1119,P34,2023-10-14,356.47
O1120,P33,2023-12-01,156.88
O1121,P48,2023-01-31,230.1
O1122,P23,2023-03-19,264.97
O1123,P24,2023-04-16,87.3
O1124,P37,2023-04-01,287.77
O1125,P35,2023-04-02,246.35
O1126,P44,2023-03-06,410.95
O1127,P40,2023-03-03,490.06
O1128,P22,2023-07-20,300.2
O1129,P27,2023-07-12,195.21
O1130,P35,2023-10-28,69.53
O1131,P1,2023-01-10,466.09
O1132,P35,2023-09-25,463.6
O1133,P37,2023-01-11,163.85
O1134,P47,2023-08-13,362.94
O1135,P14,2023-01-18,83.95
O1136,P3,2023-06-07,124.8
O1137,P1,2023-04-25,147.56
O1138,P5,2023-10-28,182.52
O1139,P26,2023-02-10,498.12
O1140,P14,2023-06-28,363.62
O1141,P39,2023-11-21,222.89
O1142,P27,2023-10-24,381.7
O1143,P9,2023-04-16,461.86
O1144,P15,2023-06-20,481.42
O1145,P15,2023-12-04,76.04
O1146,P26,2023-01-14,227.53
O1147,P42,2023-05-07,98.04
O1148,P13,2023-04-29,201.05
O1149,P32,2023-04-20,126.36
O1150,P39,2023-06-24,341.08
O1151,P49,2023-02-05,224.72
O1152,P32,2023-11-13,153.23
O1153,P4,2023-06-28,169.67
O1154,P30,2023-02-11,212.16
O1155,P37,2023-11-18,166.98
O1156,P23,2023-01-22,253.96
O1157,P39,2023-05-27,64.54
O1158,P45,2023-01-31,175.89
O1159,P15,2023-03-24,235.04
O1160,P43,2023-08-26,321.25
O1161,P29,2023-10-21,171.93
O1162,P36,2023-02-24,109.93
O1163,P13,2023-08-29,84.29
O1164,P32,2023-03-18,473.24
O1165,P7,2023-09-18,237.49
O1166,P22,2023-10-05,311.52
O1167,P28,2023-10-15,463.63
O1168,P2,2023-08-06,87.24
O1169,P42,2023-01-29,444.5
O1170,P45,2023-01-30,298.21
O1171,P6,2023-05-21,124.18
O1172,P28,2023-03-20,235.06
O1173,P28,2023-01-15,399.92
O1174,P44,2023-08-13,266.17
O1175,P44,2023-11-10,493.38
O1176,P20,2023-10-23,219.53
O1177,P30,2023-08-29,387.31
O1178,P11,2023-01-27,226.85
O1179,P28,2023-11-10,423.12
O1180,P25,2023-02-28,306.09
O1181,P39,2023-05-22,78.58
O1182,P33,2023-12-21,66.57
O1183,P1,2023-08-02,110.23
O1184,P27,2023-11-14,56.15
O1185,P13,2023-07-30,83.91
O1186,P41,2023-07-31,361.27
O1187,P3,2023-06-23,290.46
O1188,P39,2023-11-07,387.46
O1189,P6,2023-04-16,460.92
O1190,P8,2023-09-27,313.32
O1191,P27,2023-05-12,376.75
O1192,P9,2023-05-24,390.69
O1193,P37,2023-03-09,220.03
O1194,P33,2023-09-14,158.49
O1195,P42,2023-09-12,142.27
O1196,P44,2023-04-04,163.15
O1197,P24,2023-07-14,173.63
O1198,P15,2023-02-14,143.25
O1199,P32,2023-12-28,445.2
O1200,P32,2023-10-05,390.65
O1201,P24,2023-03-20,71.1
O1202,P41,2023-08-16,170.9
O1203,P49,2023-04-01,59.98
O1204,P49,2023-05-28,274.17
O1205,P12,2023-12-10,264.29
O1206,P39,2023-11-26,424.12
O1207,P2,2023-02-19,188.5
O1208,P3,2023-11-27,417.37
O1209,P49,2023-04-04,485.59
O1210,P37,2023-08-13,89.78
O1211,P49,2023-08-08,406.32
O1212,P17,2023-11-29,315.48
O1213,P49,2023-01-29,266.02
O1214,P2,2023-11-28,239.24
O1215,P2,2023-02-26,403.1
O1216,P28,2023-11-28,337.71
O1217,P23,2023-02-16,412.27
O1218,P37,2023-12-27,456.42
O1219,P32,2023-03-24,327.77
O1220,P33,2023-01-20,491.21
O1221,P1,2023-08-03,323.64
O1222,P19,2023-08-05,336.49
O1223,P2,2023-03-05,299.67
O1224,P44,2023-10-19,90.95
O1225,P26,2023-08-20,376.88
O1226,P32,2023-02-14,296.35
O1227,P6,2023-03-02,252.91
O1228,P32,2023-09-18,459.71
O1229,P4,2023-07-19,184.08
O1230,P11,2023-01-22,285.62
O1231,P17,2023-05-11,363.94
O1232,P38,2023-06-12,408.41
O1233,P24,2023-11-29,256.71
O1234,P5,2023-01-28,428.94
O1235,P34,2023-03-27,396.01
O1236,P6,2023-12-22,79.81
O1237,P22,2023-05-08,70.64
O1238,P11,2023-02-09,329.36
O1239,P48,2023-09-25,206.34
O1240,P16,2023-02-26,144.11
O1241,P33,2023-04-10,310.84
O1242,P9,2023-05-13,203.7
O1243,P6,2023-12-04,291.77
O1244,P16,2023-06-08,257.05
O1245,P29,2023-06-17,313.14
O1246,P3,2023-06-24,230.14
O1247,P20,2023-01-26,363.95
O1248,P36,2023-09-28,131.03
O1249,P19,2023-12-22,363.43
O1250,P26,2023-02-06,235.25
O1251,P3,2023-02-24,443.44
O1252,P19,2023-12-02,281.86
O1253,P20,2023-03-13,487.9
O1254,P32,2023-04-04,320.87
O1255,P7,2023-11-22,150.73
O1256,P41,2023-11-18,419.81
O1257,P33,2023-10-30,205.29
O1258,P40,2023-01-06,206.43
O1259,P39,2023-10-28,64.31
O1260,P18,2023-03-27,296.92
O1261,P40,2023-08-02,290.49
O1262,P1,2023-10-06,210.2
O1263,P11,2023-08-18,452.4
O1264,P28,2023-03-21,107.94
O1265,P25,2023-08-27,198.54
O1266,P23,2023-06-08,194.71
O1267,P31,2023-10-13,91.53
O1268,P30,2023-05-31,266.52
O1269,P42,2023-10-01,359.5
O1270,P35,2023-02-05,280.25
O1271,P7,2023-05-18,120.64
O1272,P16,2023-09-27,219.78
O1273,P26,2023-09-28,51.17
O1274,P48,2023-11-03,440.74
O1275,P49,2023-05-29,88.03
O1276,P2,2023-09-25,318.78
O1277,P1,2023-12-22,493.82
O1278,P48,2023-03-05,291.47
O1279,P12,2023-05-10,465.82
O1280,P5,2023-02-28,156.25
O1281,P37,2023-09-03,391.98
O1282,P32,2023-02-21,289.07
O1283,P9,2023-01-12,374.23
O1284,P41,2023-12-02,78.05
O1285,P35,2023-12-23,116.48
O1286,P19,2023-08-30,109.9
O1287,P48,2023-03-11,359.22
O1288,P16,2023-05-30,430.0
O1289,P3,2023-05-06,387.33
O1290,P20,2023-08-30,63.71
O1291,P24,2023-08-09,440.25
O1292,P33,2023-10-27,209.37
O1293,P24,2023-08-13,228.72
O1294,P11,2023-12-12,97.19
O1295,P49,2023-06-11,381.83
O1296,P8,2023-02-18,132.03
O1297,P36,2023-09-29,303.78
O1298,P38,2023-04-25,428.32
O1299,P40,2023-02-08,90.14
O1300,P20,2023-05-16,290.9
O1301,P35,2023-04-05,154.95
O1302,P48,2023-07-19,204.32
O1303,P25,2023-05-28,263.29
O1304,P35,2023-04-23,209.8
O1305,P25,2023-07-13,341.97
O1306,P29,2023-01-18,265.81
O1307,P18,2023-07-19,312.89
O1308,P46,2023-05-22,381.57
O1309,P18,2023-12-12,300.98
O1310,P2,2023-01-09,313.94
O1311,P35,2023-01-24,304.01
O1312,P16,2023-03-19,220.45
O1313,P41,2023-12-21,201.85
O1314,P36,2023-09-26,454.84
O1315,P33,2023-08-03,323.4
O1316,P4,2023-08-29,159.96
O1317,P33,2023-11-15,274.21
O1318,P14,2023-11-03,198.66
O1319,P21,2023-05-30,470.16
O1320,P48,2023-02-21,53.39
O1321,P20,2023-04-26,151.4
O1322,P8,2023-05-06,214.41
O1323,P7,2023-04-23,269.51
O1324,P3,2023-01-29,432.87
O1325,P17,2023-03-03,89.55
O1326,P33,2023-07-03,412.64
O1327,P48,2023-04-13,75.04
O1328,P12,2023-03-14,429.04
O1329,P22,2023-06-29,73.24
O1330,P22,2023-06-03,58.21
O1331,P46,2023-07-31,363.63
O1332,P30,2023-01-27,498.76
O1333,P38,2023-06-05,453.47
O1334,P38,2023-06-18,309.2
O1335,P45,2023-10-30,462.83
O1336,P8,2023-07-10,52.39
O1337,P27,2023-10-01,488.78
O1338,P27,2023-12-15,270.84
O1339,P34,2023-08-02,375.3
O1340,P21,2023-06-24,419.39
O1341,P30,2023-10-26,373.31
O1342,P33,2023-10-24,290.77
O1343,P28,2023-03-01,264.48
O1344,P47,2023-03-20,427.36
O1345,P33,2023-11-26,142.28
O1346,P5,2023-12-13,485.6
O1347,P48,2023-05-08,369.93
O1348,P19,2023-03-16,139.78
O1349,P4,2023-10-01,381.31
O1350,P35,2023-09-18,288.43
O1351,P49,2023-04-29,368.25
O1352,P17,2023-04-23,395.5
O1353,P44,2023-01-28,89.28
O1354,P28,2023-03-14,277.75
O1355,P30,2023-08-05,469.41
O1356,P29,2023-01-08,194.29
O1357,P46,2023-11-16,317.25
O1358,P6,2023-10-18,216.15
O1359,P35,2023-07-26,254.42
O1360,P41,2023-12-22,296.87
O1361,P37,2023-12-20,297.01
O1362,P24,2023-12-02,140.78
O1363,P29,2023-11-13,358.06
O1364,P49,2023-03-09,89.54
O1365,P46,2023-06-13,112.47
O1366,P31,2023-03-29,51.22
O1367,P35,2023-06-28,102.51
O1368,P33,2023-10-11,262.92
O1369,P21,2023-03-12,322.75
O1370,P32,2023-02-22,407.43
O1371,P23,2023-07-18,98.01
O1372,P33,2023-10-24,432.83
O1373,P3,2023-11-05,385.69
O1374,P18,2023-03-17,233.83
O1375,P25,2023-10-19,469.82
O1376,P42,2023-07-02,495.92
O1377,P31,2023-06-17,142.25
O1378,P3,2023-09-10,220.65
O1379,P40,2023-09-12,466.9
O1380,P46,2023-04-02,374.72
O1381,P24,2023-11-07,71.64
O1382,P32,2023-08-27,401.68
O1383,P47,2023-09-18,422.57
O1384,P22,2023-04-24,387.73
O1385,P23,2023-12-11,409.79
O1386,P2,2023-05-17,421.31
O1387,P27,2023-05-21,133.88
O1388,P42,2023-06-26,156.06
O1389,P2,2023-04-13,335.19
O1390,P26,2023-11-23,458.54
O1391,P17,2023-07-26,192.29
O1392,P40,2023-08-27,314.74
O1393,P33,2023-07-25,357.34
O1394,P9,2023-12-22,253.38
O1395,P43,2023-08-04,371.2
O1396,P48,2023-07-16,454.85
O1397,P39,2023-05-10,330.85
O1398,P29,2023-12-25,292.9
O1399,P42,2023-07-06,247.44
O1400,P26,2023-02-22,309.87
O1401,P35,2023-07-07,209.91
O1402,P25,2023-06-04,226.17
O1403,P24,2023-07-29,289.34
O1404,P13,2023-05-19,79.98
O1405,P7,2023-11-24,153.06
O1406,P36,2023-02-20,294.28
O1407,P45,2023-02-16,244.19
O1408,P20,2023-09-25,199.77
O1409,P1,2023-12-23,378.75
O1410,P8,2023-02-24,362.17
O1411,P46,2023-04-18,125.03
O1412,P16,2023-02-02,445.38
O1413,P14,2023-03-11,272.94
O1414,P12,2023-06-20,383.66
O1415,P23,2023-01-21,307.92
O1416,P15,2023-10-21,498.96
O1417,P28,2023-10-29,388.58
O1418,P34,2023-11-15,368.14
O1419,P2,2023-07-10,400.36
O1420,P32,2023-06-08,114.41
O1421,P23,2023-09-15,142.05
O1422,P22,2023-05-27,371.33
O1423,P25,2023-07-14,272.29
O1424,P22,2023-12-23,389.59
O1425,P22,2023-07-08,96.31
O1426,P49,2023-10-29,291.42
O1427,P42,2023-12-30,220.47
O1428,P6,2023-04-12,255.65
O1429,P15,2023-10-23,321.78
O1430,P43,2023-07-23,276.03
O1431,P37,2023-02-13,292.94
O1432,P33,2023-01-10,268.86
O1433,P8,2023-05-26,234.03
O1434,P44,2023-08-06,397.35
O1435,P44,2023-01-11,55.49
O1436,P5,2023-07-21,319.3
O1437,P39,2023-05-26,304.48
O1438,P4,2023-04-12,372.28
O1439,P6,2023-12-07,319.56
O1440,P45,2023-03-07,422.06
O1441,P32,2023-12-03,481.58
O1442,P30,2023-08-18,204.14
O1443,P47,2023-09-10,152.31
O1444,P35,2023-02-26,240.62
O1445,P40,2023-11-11,179.57
O1446,P16,2023-09-12,326.73
O1447,P13,2023-09-28,460.33
O1448,P42,2023-12-29,112.6
O1449,P30,2023-11-25,95.36
O1450,P19,2023-03-10,165.21
O1451,P17,2023-10-16,376.74
O1452,P19,2023-07-31,316.83
O1453,P28,2023-03-13,96.0
O1454,P26,2023-08-18,463.44
O1455,P37,2023-01-11,405.54
O1456,P26,2023-06-07,60.36
O1457,P23,2023-11-04,343.12
O1458,P9,2023-02-10,397.06
O1459,P12,2023-02-28,218.5
O1460,P1,2023-01-08,81.01
O1461,P1,2023-05-26,84.79
O1462,P47,2023-06-25,96.91
O1463,P34,2023-01-05,428.2
O1464,P32,2023-03-04,459.81
O1465,P48,2023-12-22,105.26
O1466,P25,2023-01-14,156.16
O1467,P40,2023-01-13,124.48
O1468,P45,2023-12-12,133.84
O1469,P1,2023-07-10,426.87
O1470,P16,2023-06-10,199.47
O1471,P39,2023-07-23,190.15
O1472,P5,2023-12-27,152.33
O1473,P22,2023-05-31,323.55
O1474,P29,2023-06-01,220.69
O1475,P3,2023-12-16,384.91
O1476,P12,2023-03-16,142.51
O1477,P26,2023-06-03,404.51
O1478,P16,2023-04-11,321.67
O1479,P37,2023-05-20,101.42
O1480,P22,2023-04-11,236.53
O1481,P29,2023-05-26,438.58
O1482,P14,2023-05-03,465.33
O1483,P28,2023-01-01,259.57
O1484,P5,2023-07-26,266.38
O1485,P47,2023-08-12,463.3
O1486,P49,2023-08-20,314.18
O1487,P30,2023-02-16,64.78
O1488,P46,2023-07-16,460.74
O1489,P5,2023-01-28,161.7
O1490,P12,2023-09-25,309.93
O1491,P16,2023-10-14,124.48
O1492,P26,2023-09-16,65.25
O1493,P26,2023-11-02,190.16
O1494,P48,2023-01-24,401.22
O1495,P21,2023-01-22,174.91
O1496,P39,2023-09-17,149.04
O1497,P36,2023-11-04,145.71
O1498,P33,2023-11-12,281.83
O1499,P30,2023-08-17,488.99
